city,date,Temperature,DewPoint,Humidity,WindSpeed,Pressure,Precipitation,intervention
New York,2/19/20,42,21.6,46.2,14.5,30.2,0,0
New York,2/20/20,31.8,10.1,41,13.3,30.4,0,0
New York,2/21/20,29.3,3.1,35.1,10,30.4,0,0
New York,2/22/20,41,5.7,24.3,10.3,30.2,0,0
New York,2/23/20,46.6,13.6,28,8,30.1,0,0
New York,2/24/20,49.5,26.3,43.7,7.3,30,0,0
New York,2/25/20,47.4,41.3,80.4,6.7,29.9,0,0
New York,2/26/20,44.8,41.9,89.8,9.1,29.9,0.14,0
New York,2/27/20,40.6,26.9,62.7,21.3,29.5,0.46,0
New York,2/28/20,35.5,8.3,33,18.7,29.8,0,0
New York,2/29/20,31.2,8.5,39,16.6,29.9,0,0
New York,3/1/20,35.5,13.7,41.8,13.4,30.1,0,0
New York,3/2/20,48.2,30.5,51.1,10.3,29.9,0,0
New York,3/3/20,52.4,44.6,75.5,10.1,29.6,0.01,0
New York,3/4/20,50.5,28.5,44.8,18.2,29.7,0.28,0
New York,3/5/20,44.8,25.4,48.5,12.9,30.1,0,0
New York,3/6/20,41.6,34,74.7,13,29.9,0,0
New York,3/7/20,41,16.5,42.1,14.7,30.2,0.14,0
New York,3/8/20,47.8,14.7,27.6,10.2,30.4,0,0
New York,3/9/20,59.3,22.8,25.8,11,30.3,0,0
New York,3/10/20,61,40.2,46.8,12.8,30,0,0
New York,3/11/20,50.4,28.5,44.6,9.4,30.1,0,0
New York,3/12/20,44.7,36.1,72.5,8.7,30.1,0,0
New York,3/13/20,54.6,41.3,70.3,14.7,29.9,0.17,0
New York,3/14/20,48.9,21.7,34.5,14.8,30.3,0.12,0
New York,3/15/20,46.8,19.3,34.9,9.5,30.4,0,0
New York,3/16/20,39.3,20.8,48.9,13.7,30.5,0,0
New York,3/17/20,47.5,38.3,71.6,8.3,30.2,0.08,0
New York,3/18/20,47.6,26.8,44.7,10.1,30.4,0.07,0
New York,3/19/20,46.2,40.1,79.5,9.9,30.2,1,0
New York,3/20/20,56,47,74.8,9.2,29.9,0.02,0
New York,3/21/20,48.5,22.7,38,13.3,30.2,0,0
New York,3/22/20,38.4,15.2,39.8,13.6,30.6,0,0
New York,3/23/20,39.2,33.5,80.8,14.8,30.2,0,4
New York,3/24/20,44,32,64.1,10.3,30.1,1.44,4
